Episode 189/2000 | Reward: 80.56 | Max X: 3446.0
Episode 190/2000 | Reward: 125.24 | Max X: 2755.0
Episode 191/2000 | Reward: 139.98 | Max X: 2946.0
Episode 192/2000 | Reward: 168.90 | Max X: 2062.0
Episode 193/2000 | Reward: 157.44 | Max X: 2616.0
Episode 194/2000 | Reward: 108.44 | Max X: 2593.0
Episode 195/2000 | Reward: 152.80 | Max X: 2472.0
Episode 196/2000 | Reward: 117.50 | Max X: 2947.0
Episode 197/2000 | Reward: 110.10 | Max X: 2947.0
Episode 198/2000 | Reward: 60.58 | Max X: 3029.0
Episode 199/2000 | Reward: 172.92 | Max X: 2795.0
Episode 200/2000 | Reward: 56.18 | Max X: 2809.0
Episode 201/2000 | Reward: 141.12 | Max X: 2908.0
Episode 202/2000 | Reward: 117.90 | Max X: 3217.0
Episode 203/2000 | Reward: 120.66 | Max X: 2947.0
Episode 204/2000 | Reward: 99.96 | Max X: 2946.0
Episode 205/2000 | Reward: 85.30 | Max X: 2760.0
Episode 206/2000 | Reward: 138.40 | Max X: 3247.0
Episode 207/2000 | Reward: 110.26 | Max X: 2660.0
Episode 208/2000 | Reward: 78.52 | Max X: 2315.0
Episode 209/2000 | Reward: 94.82 | Max X: 2595.0
Episode 210/2000 | Reward: 103.22 | Max X: 2759.0
Episode 211/2000 | Reward: 112.60 | Max X: 3426.0
Episode 212/2000 | Reward: 76.80 | Max X: 2506.0
Episode 213/2000 | Reward: 73.62 | Max X: 2739.0
Episode 214/2000 | Reward: 127.60 | Max X: 3215.0
Episode 215/2000 | Reward: 77.50 | Max X: 2643.0
Episode 216/2000 | Reward: 55.10 | Max X: 2755.0
Episode 217/2000 | Reward: 105.12 | Max X: 3074.0
Episode 218/2000 | Reward: 138.50 | Max X: 2687.0
Episode 219/2000 | Reward: 91.46 | Max X: 2588.0
Episode 220/2000 | Reward: 125.50 | Max X: 3091.0
Episode 221/2000 | Reward: 147.76 | Max X: 2715.0
Episode 222/2000 | Reward: 112.42 | Max X: 2948.0
Episode 223/2000 | Reward: 113.10 | Max X: 3092.0
Episode 224/2000 | Reward: 102.42 | Max X: 3754.0
Episode 225/2000 | Reward: 61.58 | Max X: 3028.0
Episode 226/2000 | Reward: 62.68 | Max X: 3084.0
Episode 227/2000 | Reward: 59.16 | Max X: 2908.0
Episode 228/2000 | Reward: 118.42 | Max X: 2565.0
Episode 229/2000 | Reward: 75.06 | Max X: 2795.0
Episode 230/2000 | Reward: 126.50 | Max X: 2946.0
Episode 231/2000 | Reward: 121.46 | Max X: 2764.0
Episode 232/2000 | Reward: 146.36 | Max X: 2712.0
Episode 233/2000 | Reward: 66.36 | Max X: 2319.0
Episode 234/2000 | Reward: 148.48 | Max X: 2739.0
Episode 235/2000 | Reward: 117.40 | Max X: 2694.0
Episode 236/2000 | Reward: 100.44 | Max X: 2589.0
Episode 237/2000 | Reward: 105.76 | Max X: 2948.0
Episode 238/2000 | Reward: 117.68 | Max X: 2948.0
Episode 239/2000 | Reward: 150.06 | Max X: 2708.0
Episode 240/2000 | Reward: 74.72 | Max X: 3734.0
Episode 241/2000 | Reward: 116.04 | Max X: 3847.0
Episode 242/2000 | Reward: 84.80 | Max X: 2102.0
Episode 243/2000 | Reward: 102.18 | Max X: 3824.0
Episode 244/2000 | Reward: 98.34 | Max X: 3298.0
Episode 245/2000 | Reward: 29.84 | Max X: 1142.0
Episode 246/2000 | Reward: 10.48 | Max X: 524.0
Episode 247/2000 | Reward: 24.62 | Max X: 1053.0
Episode 248/2000 | Reward: 21.30 | Max X: 530.0
Episode 249/2000 | Reward: 65.38 | Max X: 2769.0
Episode 250/2000 | Reward: 58.82 | Max X: 2652.0
Episode 251/2000 | Reward: 62.90 | Max X: 2649.0
Episode 252/2000 | Reward: 13.50 | Max X: 504.0
Episode 253/2000 | Reward: 9.54 | Max X: 477.0
Episode 254/2000 | Reward: 8.84 | Max X: 442.0
Episode 255/2000 | Reward: 12.46 | Max X: 426.0
Episode 256/2000 | Reward: 22.36 | Max X: 550.0
Episode 257/2000 | Reward: 10.96 | Max X: 548.0
Episode 258/2000 | Reward: 25.54 | Max X: 572.0
Episode 259/2000 | Reward: 67.06 | Max X: 3065.0
Episode 260/2000 | Reward: 60.92 | Max X: 2996.0
Episode 261/2000 | Reward: 61.84 | Max X: 3092.0
Episode 262/2000 | Reward: 88.22 | Max X: 3732.0
Episode 263/2000 | Reward: 97.98 | Max X: 2948.0
Episode 264/2000 | Reward: 78.46 | Max X: 3538.0
Episode 265/2000 | Reward: 63.74 | Max X: 3137.0
Episode 266/2000 | Reward: 73.36 | Max X: 2753.0
Episode 267/2000 | Reward: 112.86 | Max X: 2712.0
Episode 268/2000 | Reward: 151.84 | Max X: 2946.0
Episode 269/2000 | Reward: 133.80 | Max X: 2714.0
Episode 270/2000 | Reward: 144.34 | Max X: 2714.0
Episode 271/2000 | Reward: 68.62 | Max X: 3431.0
Episode 272/2000 | Reward: 123.36 | Max X: 3709.0
Episode 273/2000 | Reward: 66.14 | Max X: 3305.0
Episode 274/2000 | Reward: 141.78 | Max X: 2698.0
Episode 275/2000 | Reward: 86.04 | Max X: 3170.0
Episode 276/2000 | Reward: 124.02 | Max X: 3295.0
Episode 277/2000 | Reward: 72.24 | Max X: 3612.0
Episode 278/2000 | Reward: 57.22 | Max X: 1165.0
Episode 279/2000 | Reward: 31.84 | Max X: 1054.0
Episode 280/2000 | Reward: 45.42 | Max X: 2271.0
Episode 281/2000 | Reward: 48.60 | Max X: 2430.0
Episode 282/2000 | Reward: 67.60 | Max X: 2319.0
Episode 283/2000 | Reward: 94.74 | Max X: 2610.0
Episode 284/2000 | Reward: 48.14 | Max X: 2407.0
Episode 285/2000 | Reward: 47.14 | Max X: 2308.0
Episode 286/2000 | Reward: 70.66 | Max X: 2320.0
Episode 287/2000 | Reward: 30.66 | Max X: 1178.0
Episode 288/2000 | Reward: 77.54 | Max X: 2947.0
Episode 289/2000 | Reward: 60.60 | Max X: 2980.0
Episode 290/2000 | Reward: 48.50 | Max X: 1458.0
Episode 291/2000 | Reward: 45.64 | Max X: 1111.0
Episode 292/2000 | Reward: 88.52 | Max X: 3469.0
Episode 293/2000 | Reward: 68.44 | Max X: 2104.0
Episode 294/2000 | Reward: 64.50 | Max X: 3175.0
Episode 295/2000 | Reward: 61.84 | Max X: 3092.0
Episode 296/2000 | Reward: 82.74 | Max X: 3073.0
Episode 297/2000 | Reward: 58.10 | Max X: 2855.0
Episode 298/2000 | Reward: 134.38 | Max X: 2819.0
Episode 299/2000 | Reward: 165.90 | Max X: 3173.0
Episode 300/2000 | Reward: 146.30 | Max X: 2791.0
Episode 301/2000 | Reward: 80.50 | Max X: 3092.0
Episode 302/2000 | Reward: 68.56 | Max X: 3428.0
Episode 303/2000 | Reward: 163.56 | Max X: 3923.0
Episode 304/2000 | Reward: 108.98 | Max X: 3430.0
Episode 305/2000 | Reward: 67.80 | Max X: 3340.0
Episode 306/2000 | Reward: 117.54 | Max X: 3763.0
Episode 307/2000 | Reward: 88.02 | Max X: 3092.0
Episode 308/2000 | Reward: 154.24 | Max X: 2683.0
Episode 309/2000 | Reward: 129.32 | Max X: 2518.0
Episode 310/2000 | Reward: 48.96 | Max X: 2448.0
Episode 311/2000 | Reward: 119.86 | Max X: 2947.0
Episode 312/2000 | Reward: 70.86 | Max X: 2532.0
Episode 313/2000 | Reward: 94.52 | Max X: 2562.0
Episode 314/2000 | Reward: 57.36 | Max X: 2818.0
Episode 315/2000 | Reward: 108.24 | Max X: 3090.0
Episode 316/2000 | Reward: 62.76 | Max X: 3138.0
Episode 317/2000 | Reward: 110.86 | Max X: 2931.0
Episode 318/2000 | Reward: 60.24 | Max X: 3012.0
Episode 319/2000 | Reward: 61.26 | Max X: 3013.0
Episode 320/2000 | Reward: 61.20 | Max X: 3010.0
Episode 321/2000 | Reward: 139.00 | Max X: 2905.0
Episode 322/2000 | Reward: 63.76 | Max X: 3138.0
Episode 323/2000 | Reward: 61.16 | Max X: 3008.0
Episode 324/2000 | Reward: 61.94 | Max X: 3047.0
Episode 325/2000 | Reward: 63.78 | Max X: 3189.0
Episode 326/2000 | Reward: 155.72 | Max X: 4103.0
Episode 327/2000 | Reward: 100.72 | Max X: 3127.0
Episode 328/2000 | Reward: 72.40 | Max X: 3570.0
Episode 329/2000 | Reward: 86.24 | Max X: 3307.0
Episode 330/2000 | Reward: 123.64 | Max X: 3459.0
Episode 331/2000 | Reward: 63.08 | Max X: 3154.0
Episode 332/2000 | Reward: 170.82 | Max X: 2950.0
Episode 333/2000 | Reward: 134.54 | Max X: 3682.0
Episode 334/2000 | Reward: 117.40 | Max X: 2064.0
Episode 335/2000 | Reward: 119.30 | Max X: 2948.0
Episode 336/2000 | Reward: 113.36 | Max X: 2947.0
Episode 337/2000 | Reward: 168.02 | Max X: 2709.0
Episode 338/2000 | Reward: 135.70 | Max X: 2673.0
Episode 339/2000 | Reward: 136.82 | Max X: 2632.0
Episode 340/2000 | Reward: 148.66 | Max X: 2648.0
Episode 341/2000 | Reward: 133.66 | Max X: 2604.0
Episode 342/2000 | Reward: 139.02 | Max X: 2642.0
Episode 343/2000 | Reward: 135.54 | Max X: 2947.0
Episode 344/2000 | Reward: 151.70 | Max X: 2568.0
Episode 345/2000 | Reward: 147.60 | Max X: 2946.0
Episode 346/2000 | Reward: 145.36 | Max X: 4690.0
Episode 347/2000 | Reward: 166.42 | Max X: 4690.0
Episode 348/2000 | Reward: 63.50 | Max X: 3125.0
Episode 349/2000 | Reward: 114.94 | Max X: 3129.0
Episode 350/2000 | Reward: 64.46 | Max X: 3173.0
Episode 351/2000 | Reward: 99.48 | Max X: 3011.0
Episode 352/2000 | Reward: 65.12 | Max X: 3206.0
Episode 353/2000 | Reward: 63.52 | Max X: 3176.0
Episode 354/2000 | Reward: 93.22 | Max X: 3429.0
