episode,reward,max_x
370,18.6800,1084.0000
371,51.8800,2744.0000
372,18.2200,1061.0000
373,18.2400,1062.0000
374,13.4200,821.0000
375,56.9200,2946.0000
376,18.3800,1069.0000
377,18.4800,1074.0000
378,21.4200,1221.0000
379,35.9800,1949.0000
380,18.4800,1074.0000
381,18.4200,1071.0000
382,18.4600,1073.0000
383,18.2400,1062.0000
384,18.1200,1056.0000
385,37.4200,2021.0000
386,18.7200,1086.0000
387,18.2800,1064.0000
388,35.5400,1927.0000
389,15.8000,940.0000
390,56.9600,2948.0000
391,19.1200,1106.0000
392,18.3600,1068.0000
393,19.0800,1104.0000
394,18.6200,1081.0000
395,18.9400,1097.0000
396,17.2800,1014.0000
397,18.6800,1084.0000
398,18.0800,1054.0000
399,18.2200,1061.0000
400,20.4200,1171.0000
401,18.3600,1068.0000
402,18.2400,1062.0000
403,19.7800,1139.0000
404,18.1200,1056.0000
405,18.9200,1096.0000
406,18.1400,1057.0000
407,18.4400,1072.0000
408,18.0800,1054.0000
409,14.6200,881.0000
410,53.2200,2811.0000
411,18.1400,1057.0000
412,13.9800,849.0000
413,49.4800,2624.0000
414,18.2400,1062.0000
415,18.4400,1072.0000
416,20.1000,1155.0000
417,49.5200,2626.0000
418,59.8200,3091.0000
419,18.2600,1063.0000
420,18.6000,1080.0000
421,18.1800,1059.0000
422,14.3400,867.0000
423,19.1200,1106.0000
424,18.7600,1088.0000
425,18.2800,1064.0000
426,46.9200,2496.0000
427,56.9200,2946.0000
428,18.2600,1063.0000
429,18.4000,1070.0000
430,18.4000,1070.0000
431,18.9200,1096.0000
432,18.5000,1075.0000
433,48.9200,2596.0000
434,18.4000,1070.0000
435,18.2600,1063.0000
436,20.1000,1155.0000
437,18.8400,1092.0000
438,18.5000,1075.0000
439,18.7600,1088.0000
440,18.4600,1073.0000
441,50.5800,2679.0000
442,18.0400,1052.0000
443,15.1400,907.0000
444,43.3600,2318.0000
445,18.7400,1087.0000
446,43.8600,2343.0000
447,20.3800,1169.0000
448,18.2600,1063.0000
449,19.4000,1120.0000
450,19.7000,1135.0000
451,52.1800,2759.0000
452,18.2600,1063.0000
453,49.1600,2608.0000
454,18.3600,1068.0000
455,18.2400,1062.0000
456,18.6600,1083.0000
457,18.3400,1067.0000
458,59.2600,3063.0000
459,18.3200,1066.0000
460,14.9800,899.0000
461,21.1600,1208.0000
462,18.5600,1078.0000
463,18.7400,1087.0000
464,18.2200,1061.0000
465,19.2400,1112.0000
466,18.1400,1057.0000
467,58.5800,3079.0000
468,14.5000,875.0000
469,18.2000,1060.0000
470,18.3200,1066.0000
471,18.6400,1082.0000
472,18.4000,1070.0000
473,17.0800,1004.0000
474,43.7800,2339.0000
475,36.7600,1988.0000
476,56.9400,2947.0000
477,18.3000,1065.0000
478,18.5200,1076.0000
479,19.4200,1121.0000
480,20.4400,1172.0000
481,56.9400,2947.0000
