T,trajectories,best_r,best_x
134600,23,113.4000,5370
134700,23,113.4000,5370
134800,23,113.4000,5370
134900,23,113.4000,5370
135000,23,113.4000,5370
135100,23,113.4000,5370
135200,23,113.4000,5370
135300,23,113.4000,5370
135400,23,113.4000,5370
135500,23,113.4000,5370
135600,23,113.4000,5370
135700,23,113.4000,5370
135800,23,113.4000,5370
135900,23,113.4000,5370
136000,23,113.4000,5370
136100,23,113.4000,5370
136200,23,113.4000,5370
136300,23,113.4000,5370
136400,23,113.4000,5370
136500,23,113.4000,5370
136600,23,113.4000,5370
136700,23,113.4000,5370
136800,23,113.4000,5370
136900,23,113.4000,5370
137000,23,113.4000,5370
137100,23,113.4000,5370
137200,23,113.4000,5370
137300,23,113.4000,5370
137400,23,113.4000,5370
137500,23,113.4000,5370
137600,23,113.4000,5370
137700,23,113.4000,5370
137800,23,113.4000,5370
137900,23,113.4000,5370
138000,23,113.4000,5370
138100,23,113.4000,5370
138200,23,113.4000,5370
138300,23,113.4000,5370
138400,23,113.4000,5370
138500,23,113.4000,5370
138600,23,113.4000,5370
138700,23,113.4000,5370
138800,23,113.4000,5370
138900,23,113.4000,5370
139000,23,113.4000,5370
139100,23,113.4000,5370
139200,23,113.4000,5370
139300,23,113.4000,5370
139400,23,113.4000,5370
139500,23,113.4000,5370
139600,23,113.4000,5370
139700,23,113.4000,5370
139800,23,113.4000,5370
139900,23,113.4000,5370
140000,23,113.4000,5370
140100,23,113.4000,5370
140200,23,113.4000,5370
140300,23,113.4000,5370
140400,23,113.4000,5370
140500,23,113.4000,5370
140600,23,113.4000,5370
140700,23,113.4000,5370
140800,23,113.4000,5370
140900,23,113.4000,5370
141000,23,113.4000,5370
141100,23,113.4000,5370
141200,23,113.4000,5370
141300,23,113.4000,5370
141400,23,113.4000,5370
141500,23,113.4000,5370
141600,23,113.4000,5370
141700,23,113.4000,5370
141800,23,113.4000,5370
141900,23,113.4000,5370
142000,23,113.4000,5370
142100,23,113.4000,5370
142200,23,113.4000,5370
142300,23,113.4000,5370
142400,23,113.4000,5370
142500,23,113.4000,5370
142600,23,113.4000,5370
142700,23,113.4000,5370
142800,23,113.4000,5370
142900,23,113.4000,5370
143000,23,113.4000,5370
143100,23,113.4000,5370
143200,23,113.4000,5370
143300,23,113.4000,5370
143400,23,113.4000,5370
143500,23,113.4000,5370
143600,23,113.4000,5370
143700,23,113.4000,5370
143800,23,113.4000,5370
143900,23,113.4000,5370
144000,23,113.4000,5370
144100,23,113.4000,5370
144200,23,113.4000,5370
144300,24,113.4000,5370
144400,24,113.4000,5370
144500,24,113.4000,5370
144600,24,113.4000,5370
144700,24,113.4000,5370
144800,24,113.4000,5370
144900,24,113.4000,5370
145000,24,113.4000,5370
145100,24,113.4000,5370
145200,24,113.4000,5370
145300,24,113.4000,5370
145400,24,113.4000,5370
145500,24,113.4000,5370
145600,24,113.4000,5370
145700,24,113.4000,5370
145800,24,113.4000,5370
145900,24,113.4000,5370
146000,24,113.4000,5370
146100,24,113.4000,5370
146200,24,113.4000,5370
146300,24,113.4000,5370
146400,24,113.4000,5370
146500,24,113.4000,5370
146600,24,113.4000,5370
146700,24,113.4000,5370
146800,24,113.4000,5370
146900,24,113.4000,5370
147000,24,113.4000,5370
147100,24,113.4000,5370
147200,24,113.4000,5370
147300,24,113.4000,5370
147400,24,113.4000,5370
147500,24,113.4000,5370
147600,24,113.4000,5370
147700,24,113.4000,5370
147800,24,113.4000,5370
147900,24,113.4000,5370
148000,24,113.4000,5370
148100,24,113.4000,5370
148200,24,113.4000,5370
148300,24,113.4000,5370
148400,24,113.4000,5370
148500,24,113.4000,5370
148600,24,113.4000,5370
148700,24,113.4000,5370
148800,24,113.4000,5370
148900,24,113.4000,5370
149000,24,113.4000,5370
149100,24,113.4000,5370
149200,24,113.4000,5370
149300,24,113.4000,5370
149400,24,113.4000,5370
149500,24,113.4000,5370
149600,24,113.4000,5370
149700,24,113.4000,5370
149800,24,113.4000,5370
149900,24,113.4000,5370
150000,24,113.4000,5370
150100,24,113.4000,5370
150200,24,113.4000,5370
150300,24,113.4000,5370
150400,24,113.4000,5370
150500,24,113.4000,5370
150600,24,113.4000,5370
150700,24,113.4000,5370
150800,24,113.4000,5370
150900,24,113.4000,5370
151000,24,113.4000,5370
151100,24,113.4000,5370
151200,24,113.4000,5370
151300,24,113.4000,5370
151400,24,113.4000,5370
151500,24,113.4000,5370
151600,24,113.4000,5370
151700,24,113.4000,5370
151800,24,113.4000,5370
151900,24,113.4000,5370
152000,24,113.4000,5370
152100,24,113.4000,5370
152200,24,113.4000,5370
152300,24,113.4000,5370
152400,24,113.4000,5370
152500,24,113.4000,5370
152600,24,113.4000,5370
152700,24,113.4000,5370
152800,24,113.4000,5370
152900,24,113.4000,5370
153000,24,113.4000,5370
153100,24,113.4000,5370
153200,25,113.4000,5370
153300,25,113.4000,5370
153400,25,113.4000,5370
153500,25,113.4000,5370
153600,25,113.4000,5370
153700,25,113.4000,5370
153800,25,113.4000,5370
153900,25,113.4000,5370
154000,25,113.4000,5370
154100,25,113.4000,5370
154200,25,113.4000,5370
154300,25,113.4000,5370
154400,25,113.4000,5370
154500,25,113.4000,5370
154600,25,113.4000,5370
154700,25,113.4000,5370
154800,25,113.4000,5370
